epoch,train_loss,train_acc,val_loss,val_acc,val_f1,time_s
0,1.3670,0.4959,1.0238,0.7597,0.7613,87.9
1,0.7054,0.7816,0.5841,0.8442,0.8477,90.7
2,0.4291,0.8613,0.4139,0.8506,0.8512,86.8
3,0.2872,0.9052,0.3927,0.8701,0.8703,88.1
4,0.2134,0.9341,0.2890,0.8701,0.8696,86.6
5,0.1760,0.9396,0.3221,0.8831,0.8857,87.3
6,0.1345,0.9560,0.3308,0.8701,0.8719,82.2
7,0.1102,0.9643,0.2899,0.9091,0.9088,96.5
8,0.1028,0.9725,0.3018,0.9221,0.9219,107.6
9,0.0710,0.9725,0.3720,0.8831,0.8837,160.8
10,0.0527,0.9808,0.3507,0.9026,0.9019,104.5
11,0.0395,0.9863,0.3293,0.9026,0.9024,85.4
12,0.0398,0.9876,0.4205,0.8961,0.8972,117.7
13,0.0556,0.9794,0.4301,0.9091,0.9068,139.2
14,0.0318,0.9876,0.4554,0.9091,0.9068,164.2
15,0.0441,0.9890,0.3700,0.9091,0.9078,121.9
16,0.0203,0.9945,0.4469,0.9026,0.9011,89.8
17,0.0147,0.9931,0.3837,0.9156,0.9150,80.6
18,0.0152,0.9959,0.3829,0.9156,0.9150,84.8
