epoch,train_loss,train_acc,val_loss,val_acc,val_f1,time_s
0,1.4120,0.4609,1.2592,0.5877,0.5859,78.3
1,1.1282,0.6358,1.0981,0.6346,0.6293,70.9
2,0.9755,0.6894,1.0009,0.6600,0.6544,69.2
3,0.8907,0.7103,0.9430,0.6764,0.6715,72.5
4,0.8288,0.7285,0.9058,0.6814,0.6761,76.1
5,0.1989,0.9382,0.5880,0.8353,0.8328,71.6
6,0.0256,0.9929,0.6731,0.8344,0.8308,73.8
7,0.0106,0.9968,0.7143,0.8323,0.8292,71.2
8,0.0072,0.9978,0.7996,0.8294,0.8270,78.3
9,0.0068,0.9981,0.8127,0.8351,0.8322,91.2
10,0.0041,0.9989,0.7197,0.8457,0.8443,89.7
11,0.0034,0.9989,0.8197,0.8396,0.8382,93.4
12,0.0031,0.9988,0.9221,0.8325,0.8295,77.9
13,0.0026,0.9991,0.9137,0.8355,0.8335,80.4
14,0.0020,0.9994,0.8543,0.8359,0.8349,88.2
15,0.0017,0.9995,0.9416,0.8325,0.8313,99.8
16,0.0017,0.9993,0.8937,0.8359,0.8332,102.8
17,0.0014,0.9996,0.9415,0.8344,0.8326,109.4
18,0.0018,0.9993,0.9897,0.8273,0.8245,100.0
19,0.0014,0.9994,0.9262,0.8359,0.8347,91.1
20,0.0018,0.9994,0.9149,0.8353,0.8330,97.6
